ID,SF,Face rating,Emotion rating,Emotion
1,1,4,6,happy
1,2,3,6,happy
1,1,5,7,happy
1,2,4,2,angry
1,2,2,4,happy
1,2,2,3,angry
1,2,5,2,angry
1,2,6,1,angry
1,2,2,4,happy
1,2,2,3,angry
1,1,5,6,happy
1,2,2,5,happy
1,2,4,7,happy
1,2,5,1,angry
1,2,5,2,angry
1,2,3,4,happy
1,1,5,4,happy
1,2,3,4,angry
1,1,4,2,angry
1,2,2,4,happy
1,1,2,5,happy
1,1,3,4,angry
1,1,5,5,happy
1,2,4,3,angry
1,2,3,2,angry
1,2,3,2,angry
1,2,1,4,angry
1,2,5,4,angry
1,2,5,6,happy
1,2,5,6,happy
1,2,4,7,happy
1,1,1,2,angry
1,2,5,7,happy
1,2,2,6,happy
1,1,5,1,angry
1,2,5,5,happy
1,2,4,5,happy
1,2,3,2,angry
1,1,2,5,happy
1,2,5,7,angry
2,1,5,7,happy
2,2,4,4,happy
2,2,4,5,happy
2,2,4,1,angry
2,2,4,6,happy
2,2,3,1,angry
2,2,4,2,angry
2,2,5,1,angry
2,2,3,4,happy
2,2,4,2,angry
2,2,5,2,angry
2,2,5,4,happy
2,1,4,3,angry
2,2,5,2,angry
2,2,6,3,angry
2,2,5,5,happy
2,2,5,4,angry
2,2,5,4,angry
2,1,6,3,angry
2,1,5,3,angry
2,1,5,5,happy
2,1,5,3,angry
2,1,5,4,happy
2,1,4,3,angry
2,2,6,2,angry
2,2,5,2,angry
2,2,5,4,angry
2,2,6,3,angry
2,2,6,6,happy
2,2,5,5,happy
2,1,6,2,angry
2,1,6,3,angry
2,1,5,4,happy
2,1,6,2,angry
2,1,7,3,angry
2,2,7,7,happy
2,2,6,5,happy
2,1,7,4,happy
2,1,5,5,happy
2,1,5,4,happy
3,2,5,1,angry
3,2,5,7,angry
3,1,5,7,happy
3,2,5,1,angry
3,2,5,7,happy
3,2,4,1,angry
3,2,6,1,angry
3,2,6,1,angry
3,2,5,4,happy
3,2,5,1,angry
3,2,6,1,angry
3,2,5,7,happy
3,2,5,7,happy
3,2,6,1,angry
3,2,7,3,angry
3,2,6,7,happy
3,1,5,4,happy
3,2,5,4,angry
3,1,5,3,angry
3,2,6,3,happy
3,2,5,7,happy
3,1,5,1,angry
3,1,3,4,happy
3,2,3,2,angry
3,2,4,1,angry
3,2,5,2,angry
3,2,3,3,angry
3,2,4,3,angry
3,2,5,7,happy
3,2,5,7,happy
3,2,5,7,happy
3,1,5,1,angry
3,2,5,7,happy
3,1,5,1,angry
3,1,5,3,angry
3,2,4,7,happy
3,2,4,6,happy
3,1,5,7,happy
3,1,3,6,happy
3,2,6,7,angry
4,1,3,1,happy
4,2,5,6,happy
4,1,6,6,happy
4,2,5,2,angry
4,2,5,5,happy
4,2,3,2,angry
4,2,5,3,angry
4,2,6,2,angry
4,1,2,6,happy
4,2,2,3,angry
4,1,6,6,happy
4,2,5,6,happy
4,2,5,5,happy
4,2,5,2,angry
4,2,5,3,angry
4,2,6,6,happy
4,1,5,4,happy
4,2,4,5,angry
4,1,5,3,angry
4,2,6,3,happy
4,2,5,6,happy
4,1,3,3,angry
4,1,5,6,happy
4,2,5,3,angry
4,2,5,2,angry
4,2,5,3,angry
4,2,2,3,angry
4,2,5,3,angry
4,2,6,6,happy
4,2,5,6,happy
4,2,5,6,happy
4,1,2,2,angry
4,2,5,6,happy
4,1,2,3,angry
4,1,6,4,angry
4,2,6,6,happy
4,2,6,3,happy
4,1,6,6,happy
4,1,5,5,happy
4,2,5,5,angry
5,1,6,7,happy
5,1,4,5,happy
5,1,2,7,happy
5,2,2,1,angry
5,2,2,7,happy
5,1,2,7,happy
5,2,5,1,angry
5,1,6,1,angry
5,1,2,7,happy
5,2,2,2,angry
5,2,2,2,angry
5,2,2,7,happy
5,1,1,1,angry
5,2,1,1,angry
5,2,2,2,angry
5,2,2,7,happy
5,1,6,4,happy
5,1,4,6,happy
5,2,2,2,angry
5,2,6,4,happy
5,2,2,7,happy
5,1,2,2,angry
5,1,6,7,happy
5,2,4,4,angry
5,2,2,1,angry
5,2,4,2,angry
5,2,2,2,angry
5,2,4,4,angry
5,2,6,7,happy
5,1,2,2,angry
5,1,2,1,angry
5,1,2,2,angry
5,1,1,5,happy
5,1,3,2,angry
5,1,3,4,angry
5,1,3,4,angry
5,2,2,6,happy
5,1,5,6,happy
5,2,5,7,happy
5,1,4,5,happy
6,1,5,5,happy
6,2,4,4,happy
6,1,6,7,happy
6,1,3,3,angry
6,1,6,7,happy
6,1,6,6,happy
6,1,3,2,angry
6,2,5,1,angry
6,2,2,4,happy
6,2,4,2,angry
6,2,6,2,angry
6,2,3,7,happy
6,2,6,6,happy
6,2,6,1,angry
6,2,7,2,angry
6,2,5,7,happy
6,2,4,2,angry
6,1,4,5,happy
6,1,4,1,angry
6,2,4,4,happy
6,2,4,7,happy
6,1,4,2,angry
6,1,6,4,happy
6,2,4,4,angry
6,2,4,2,angry
6,2,5,3,angry
6,2,2,3,angry
6,2,4,2,angry
6,2,7,7,happy
6,2,6,7,happy
6,2,6,7,happy
6,1,2,1,angry
6,1,6,6,happy
6,1,4,1,angry
6,1,7,4,angry
6,2,6,6,happy
6,2,5,6,happy
6,1,7,6,happy
6,1,4,6,happy
6,2,6,6,angry
7,2,3,2,angry
7,1,3,5,happy
7,1,2,6,happy
7,2,4,2,angry
7,2,4,6,happy
7,1,2,5,happy
7,2,5,3,angry
7,2,3,4,angry
7,1,1,6,happy
7,2,2,3,angry
7,1,6,6,happy
7,2,3,5,happy
7,2,6,6,happy
7,2,3,2,angry
7,2,7,4,angry
7,2,4,5,happy
7,1,7,4,happy
7,1,5,4,happy
7,1,3,3,angry
7,2,4,4,happy
7,1,3,5,happy
7,1,4,3,angry
7,1,6,5,happy
7,2,6,4,angry
7,2,3,3,angry
7,2,3,3,angry
7,2,3,3,angry
7,1,3,5,happy
7,1,5,6,happy
7,1,5,4,angry
7,1,5,3,angry
7,1,3,2,angry
7,2,3,5,happy
7,1,3,2,angry
7,1,7,4,angry
7,2,5,5,happy
7,2,5,4,happy
